order_id,order_date,customer_id,customer_age,region,sales_channel,product_name,category,quantity,unit_price,discount_rate,revenue,cost,campaign,payment_method,delivery_days,customer_rating,returned,gross_profit,gross_margin,month,age_group,returned_flag
ORD-00022,2025-03-01,C1136,50,South,Website,Bluetooth Headphones,Audio,2,2573.97,0.1,4633.15,3706.52,Search Ads,UPI,6,4,No,926.63,0.2,2025-03,45-54,0
ORD-00023,2025-11-21,C1083,46,East,Website,Webcam Pro,Office,1,3229.23,0.05,3067.77,2292.75,Influencer,Credit Card,4,4,No,775.02,0.2526,2025-11,45-54,0
ORD-00024,2025-10-07,C1021,40,East,Mobile App,Wireless Mouse,Accessories,1,781.7,0.2,625.36,539.37,Festive Sale,Debit Card,4,3,No,85.99,0.1375,2025-10,35-44,0
ORD-00025,2026-02-04,C1013,29,South,Retail Store,Webcam Pro,Office,1,3182.02,0.05,3022.92,2259.23,Search Ads,Credit Card,6,5,No,763.69,0.2526,2026-02,25-34,0
ORD-00026,2025-05-17,C1236,40,North,Website,USB-C Hub,Accessories,1,1807.72,0.15,1536.56,1193.09,Search Ads,Credit Card,2,4,No,343.47,0.2235,2025-05,35-44,0
ORD-00027,2025-01-13,C1205,61,West,Website,Smart Watch,Wearables,3,6134.8,0.1,16563.96,13803.3,Referral,Credit Card,4,5,No,2760.66,0.1667,2025-01,55+,0
ORD-00028,2025-10-25,C1296,30,North,Website,Laptop Stand,Office,1,1275.14,0.1,1147.63,803.34,Email Offer,Cash,3,3,No,344.29,0.3,2025-10,25-34,0
ORD-00029,2026-02-17,C1064,37,East,Website,Smart Watch,Wearables,4,5820.39,0.1,20953.4,17461.17,Organic,Credit Card,3,4,No,3492.23,0.1667,2026-02,35-44,0
ORD-00030,2025-04-09,C1281,18,West,Mobile App,Webcam Pro,Office,4,2903.49,0.2,9291.17,8245.91,Organic,Cash,6,4,No,1045.26,0.1125,2025-04,18-24,0
ORD-00031,2025-12-02,C1146,50,West,Website,Mechanical Keyboard,Accessories,2,3587.93,0.15,6099.48,5023.1,Email Offer,Debit Card,7,4,No,1076.38,0.1765,2025-12,45-54,0
ORD-00032,2025-04-26,C1038,47,South,Website,Smart Watch,Wearables,1,6334.69,0.15,5384.49,4751.02,Organic,Net Banking,6,4,No,633.47,0.1176,2025-04,45-54,0
ORD-00033,2025-09-11,C1357,51,South,Website,Webcam Pro,Office,2,2843.48,0.15,4833.92,4037.74,Email Offer,Net Banking,4,4,No,796.18,0.1647,2025-09,45-54,0
ORD-00034,2025-12-08,C1381,48,West,Mobile App,Mechanical Keyboard,Accessories,2,3721.37,0.25,5582.06,5209.92,Email Offer,Debit Card,3,4,No,372.14,0.0667,2025-12,45-54,0
ORD-00035,2026-01-28,C1164,52,South,Website,Portable Speaker,Audio,1,2118.68,0.1,1906.81,1546.64,Search Ads,UPI,3,2,No,360.17,0.1889,2026-01,45-54,0
ORD-00036,2025-08-01,C1300,62,East,Mobile App,Webcam Pro,Office,1,3193.26,0.25,2394.95,2267.21,Email Offer,Net Banking,4,1,No,127.74,0.0533,2025-08,55+,0
ORD-00037,2025-09-02,C1280,56,East,Website,Wireless Mouse,Accessories,1,830.64,0.15,706.04,573.14,Organic,Debit Card,3,5,No,132.9,0.1882,2025-09,55+,0
ORD-00038,2025-12-09,C1202,55,South,Retail Store,Webcam Pro,Office,4,2772.02,0.2,8870.46,7872.54,Organic,Net Banking,6,4,Yes,997.92,0.1125,2025-12,55+,1
ORD-00039,2025-03-11,C1195,35,South,Website,Portable Speaker,Audio,1,2141.83,0.2,1713.46,1563.53,Email Offer,Cash,4,5,No,149.93,0.0875,2025-03,35-44,0
ORD-00040,2025-01-27,C1011,57,South,Mobile App,Mechanical Keyboard,Accessories,3,3330.69,0.15,8493.26,6994.45,Festive Sale,UPI,4,3,No,1498.81,0.1765,2025-01,55+,0
ORD-00041,2025-10-16,C1383,63,West,Mobile App,Smart Watch,Wearables,2,6101.94,0.05,11593.69,9152.91,Organic,Debit Card,4,3,No,2440.78,0.2105,2025-10,55+,0
ORD-00042,2025-10-22,C1125,24,West,Retail Store,Webcam Pro,Office,1,3157.62,0.2,2526.1,2241.91,Influencer,Unknown,4,5,No,284.19,0.1125,2025-10,18-24,0
ORD-00043,2026-02-17,C1216,49,North,Website,Bluetooth Headphones,Audio,1,2304.14,0.2,1843.31,1658.98,Festive Sale,Credit Card,2,2,No,184.33,0.1,2026-02,45-54,0
ORD-00044,2025-08-11,C1304,35,East,Mobile App,USB-C Hub,Accessories,4,1997.97,0.25,5993.91,5274.64,Email Offer,Debit Card,1,4,No,719.27,0.12,2025-08,35-44,0
ORD-00045,2025-08-19,C1094,49,West,Mobile App,Smart Watch,Wearables,2,6335.86,0.25,9503.79,9503.79,Festive Sale,Debit Card,2,3,No,0.0,0.0,2025-08,45-54,0
ORD-00046,2025-10-12,C1354,48,South,Website,Wireless Mouse,Accessories,2,832.0,0.15,1414.4,1148.17,Organic,UPI,6,4,No,266.23,0.1882,2025-10,45-54,0
ORD-00047,2025-05-31,C1272,40,West,Mobile App,Smart Watch,Wearables,1,5973.33,0.2,4778.66,4480.0,Referral,Debit Card,2,4,No,298.66,0.0625,2025-05,35-44,0
ORD-00048,2025-05-09,C1111,48,North,Mobile App,Smart Watch,Wearables,1,5696.79,0.2,4557.43,4272.6,Influencer,Cash,6,3,No,284.83,0.0625,2025-05,45-54,0
ORD-00049,2025-05-25,C1028,53,South,Website,Bluetooth Headphones,Audio,1,2408.76,0.15,2047.45,1734.31,Festive Sale,UPI,2,4,No,313.14,0.1529,2025-05,45-54,0
ORD-00050,2025-10-21,C1245,25,West,Mobile App,Laptop Stand,Office,1,1390.67,0.0,1390.67,876.12,Referral,Cash,2,5,No,514.55,0.37,2025-10,25-34,0
ORD-00051,2025-11-19,C1392,44,South,Website,Wireless Mouse,Accessories,2,750.22,0.15,1275.37,1035.31,Festive Sale,Net Banking,4,4,No,240.06,0.1882,2025-11,35-44,0
ORD-00052,2025-06-02,C1136,60,East,Mobile App,Webcam Pro,Office,1,3059.23,0.0,3059.23,2172.05,Search Ads,UPI,6,2,No,887.18,0.29,2025-06,55+,0
ORD-00053,2025-03-22,C1145,62,West,Website,Wireless Mouse,Accessories,2,771.91,0.15,1312.25,1065.24,Festive Sale,Cash,4,5,No,247.01,0.1882,2025-03,55+,0
ORD-00054,2025-12-05,C1037,21,West,Website,Smart Watch,Wearables,1,6312.51,0.05,5996.88,4734.39,Referral,Cash,5,3,No,1262.49,0.2105,2025-12,18-24,0
ORD-00055,2025-05-28,C1253,46,North,Mobile App,Portable Speaker,Audio,1,2199.17,0.15,1869.29,1605.39,Referral,UPI,2,2,Yes,263.9,0.1412,2025-05,45-54,1
ORD-00056,2025-02-16,C1388,29,North,Retail Store,Smart Watch,Wearables,2,5557.7,0.1,10003.86,8336.54,Organic,Credit Card,4,4,No,1667.32,0.1667,2025-02,25-34,0
ORD-00057,2025-10-27,C1054,28,West,Retail Store,Webcam Pro,Office,1,2913.14,0.15,2476.17,2068.33,Referral,UPI,3,4,No,407.84,0.1647,2025-10,25-34,0
ORD-00058,2025-08-21,C1001,60,East,Website,Bluetooth Headphones,Audio,1,2628.92,0.15,2234.58,1892.82,Organic,Credit Card,7,5,No,341.76,0.1529,2025-08,55+,0
ORD-00059,2025-09-23,C1148,46,West,Mobile App,Mechanical Keyboard,Accessories,2,3526.56,0.05,6700.46,4937.18,Referral,Credit Card,6,5,No,1763.28,0.2632,2025-09,45-54,0
ORD-00060,2025-06-09,C1079,49,West,Website,Wireless Mouse,Accessories,5,817.88,0.1,3680.46,2821.7,Email Offer,Debit Card,4,5,No,858.76,0.2333,2025-06,45-54,0
ORD-00061,2025-08-01,C1261,26,West,Website,Portable Speaker,Audio,2,2347.43,0.15,3990.63,3427.25,Search Ads,Debit Card,4,5,No,563.38,0.1412,2025-08,25-34,0
ORD-00062,2026-02-25,C1077,46,East,Mobile App,Wireless Mouse,Accessories,3,797.68,0.2,1914.43,1651.19,Influencer,Cash,2,4,No,263.24,0.1375,2026-02,45-54,0
ORD-00063,2025-07-13,C1211,20,East,Retail Store,Portable Speaker,Audio,5,2157.82,0.05,10249.64,7876.06,Organic,Credit Card,5,4,No,2373.58,0.2316,2025-07,18-24,0
ORD-00064,2025-09-11,C1234,41,South,Mobile App,Wireless Mouse,Accessories,2,802.32,0.1,1444.18,1107.2,Email Offer,Credit Card,3,5,No,336.98,0.2333,2025-09,35-44,0
ORD-00065,2025-02-08,C1274,42,East,Website,Portable Speaker,Audio,2,2322.97,0.0,4645.94,3391.53,Referral,UPI,5,5,No,1254.41,0.27,2025-02,35-44,0
ORD-00066,2025-11-13,C1051,58,South,Mobile App,Bluetooth Headphones,Audio,4,2335.22,0.05,8873.84,6725.43,Influencer,Debit Card,2,5,No,2148.41,0.2421,2025-11,55+,0
ORD-00067,2025-01-15,C1211,54,East,Mobile App,Wireless Mouse,Accessories,1,766.3,0.15,651.35,528.75,Email Offer,Cash,5,5,No,122.6,0.1882,2025-01,45-54,0
ORD-00068,2025-12-16,C1131,60,West,Retail Store,Smart Watch,Wearables,1,5762.86,0.15,4898.43,4322.14,Influencer,Cash,6,1,No,576.29,0.1176,2025-12,55+,0
ORD-00069,2025-03-22,C1354,34,West,Retail Store,Bluetooth Headphones,Audio,5,2683.74,0.1,12076.83,9661.46,Influencer,Credit Card,7,4,No,2415.37,0.2,2025-03,25-34,0
ORD-00070,2025-07-15,C1352,21,East,Retail Store,Mechanical Keyboard,Accessories,1,3223.61,0.15,2740.07,2256.53,Referral,Credit Card,4,5,No,483.54,0.1765,2025-07,18-24,0
ORD-00071,2025-11-07,C1322,59,South,Mobile App,Mechanical Keyboard,Accessories,2,3273.48,0.05,6219.61,4582.87,Influencer,UPI,5,1,No,1636.74,0.2632,2025-11,55+,0
ORD-00072,2025-06-01,C1140,28,West,Website,Mechanical Keyboard,Accessories,1,3516.27,0.2,2813.02,2461.39,Referral,Debit Card,4,3,No,351.63,0.125,2025-06,25-34,0
ORD-00073,2026-01-18,C1204,53,North,Mobile App,Mechanical Keyboard,Accessories,1,3624.53,0.05,3443.3,2537.17,Influencer,Debit Card,6,4,No,906.13,0.2632,2026-01,45-54,0
ORD-00074,2025-12-11,C1013,57,West,Retail Store,Laptop Stand,Office,4,1243.68,0.0,4974.72,3134.07,Influencer,Credit Card,4,5,No,1840.65,0.37,2025-12,55+,0
ORD-00075,2025-11-28,C1020,37,West,Retail Store,Bluetooth Headphones,Audio,1,2317.21,0.15,1969.63,1668.39,Festive Sale,Net Banking,4,5,No,301.24,0.1529,2025-11,35-44,0
ORD-00076,2025-07-09,C1144,20,South,Retail Store,Webcam Pro,Office,2,2954.91,0.15,5023.35,4195.97,Organic,Credit Card,6,5,No,827.38,0.1647,2025-07,18-24,0
ORD-00077,2026-03-14,C1063,47,North,Retail Store,Mechanical Keyboard,Accessories,1,3373.53,0.25,2530.15,2361.47,Festive Sale,Debit Card,1,2,No,168.68,0.0667,2026-03,45-54,0
ORD-00078,2025-05-05,C1120,39,South,Website,USB-C Hub,Accessories,2,1812.69,0.05,3444.11,2392.76,Organic,UPI,1,5,No,1051.35,0.3053,2025-05,35-44,0
ORD-00079,2025-05-22,C1068,18,South,Mobile App,USB-C Hub,Accessories,3,2010.34,0.0,6031.02,3980.48,Influencer,UPI,3,4,No,2050.54,0.34,2025-05,18-24,0
ORD-00080,2025-03-06,C1232,50,North,Mobile App,Webcam Pro,Office,1,3043.94,0.1,2739.55,2161.2,Organic,Cash,4,3,No,578.35,0.2111,2025-03,45-54,0
ORD-00081,2025-06-04,C1228,22,North,Website,Portable Speaker,Audio,1,2195.58,0.1,1976.02,1602.77,Email Offer,Cash,4,5,No,373.25,0.1889,2025-06,18-24,0
ORD-00082,2025-10-08,C1051,62,West,Retail Store,Mechanical Keyboard,Accessories,2,3558.02,0.15,6048.63,4981.23,Organic,Credit Card,4,3,No,1067.4,0.1765,2025-10,55+,0
ORD-00083,2025-08-09,C1161,60,South,Website,Portable Speaker,Audio,3,2133.05,0.1,5759.24,4671.37,Email Offer,UPI,3,3,No,1087.87,0.1889,2025-08,55+,0
ORD-00084,2025-02-17,C1288,53,North,Mobile App,Webcam Pro,Office,1,2787.86,0.05,2648.47,1979.38,Organic,Net Banking,2,4,No,669.09,0.2526,2025-02,45-54,0
ORD-00085,2026-03-21,C1337,48,East,Mobile App,Wireless Mouse,Accessories,1,762.28,0.2,609.82,525.97,Organic,Cash,5,3,No,83.85,0.1375,2026-03,45-54,0
ORD-00086,2025-04-26,C1391,37,North,Mobile App,Webcam Pro,Office,2,2890.21,0.15,4913.36,4104.09,Festive Sale,Credit Card,2,5,No,809.27,0.1647,2025-04,35-44,0
ORD-00087,2025-10-17,C1233,39,North,Website,Webcam Pro,Office,2,2939.59,0.15,4997.3,4174.22,Festive Sale,UPI,2,3,No,823.08,0.1647,2025-10,35-44,0
ORD-00088,2025-01-27,C1218,49,South,Mobile App,USB-C Hub,Accessories,1,1881.72,0.0,1881.72,1241.93,Referral,Cash,7,4,No,639.79,0.34,2025-01,45-54,0
ORD-00089,2025-02-28,C1203,56,West,Website,Mechanical Keyboard,Accessories,2,3244.51,0.2,5191.22,4542.31,Email Offer,Debit Card,6,2,No,648.91,0.125,2025-02,55+,0
ORD-00090,2025-06-17,C1343,40,North,Mobile App,Bluetooth Headphones,Audio,1,2499.1,0.15,2124.23,1799.36,Email Offer,Net Banking,3,2,No,324.87,0.1529,2025-06,35-44,0
ORD-00091,2025-01-10,C1208,19,North,Retail Store,Portable Speaker,Audio,2,2124.94,0.25,3187.41,3102.42,Email Offer,Debit Card,5,5,No,84.99,0.0267,2025-01,18-24,0
ORD-00092,2025-02-15,C1382,39,North,Website,Webcam Pro,Office,2,31767.9,0.25,47651.85,4511.05,Festive Sale,Cash,3,3,No,43140.8,0.9053,2025-02,35-44,0
ORD-00093,2025-11-21,C1132,30,South,Retail Store,Bluetooth Headphones,Audio,1,2340.19,0.05,2223.18,1684.93,Search Ads,Net Banking,4,3,No,538.25,0.2421,2025-11,25-34,0
ORD-00094,2025-08-26,C1324,37,East,Retail Store,Portable Speaker,Audio,2,2188.07,0.1,3938.53,3194.58,Email Offer,Cash,3,5,No,743.95,0.1889,2025-08,35-44,0
ORD-00095,2025-02-07,C1260,42,West,Website,Laptop Stand,Office,1,1322.9,0.1,1190.61,833.43,Festive Sale,Cash,5,4,No,357.18,0.3,2025-02,35-44,0
ORD-00096,2025-11-30,C1176,63,East,Mobile App,Smart Watch,Wearables,1,6297.48,0.1,5667.73,4723.11,Email Offer,Credit Card,1,2,No,944.62,0.1667,2025-11,55+,0
ORD-00097,2025-12-29,C1199,44,West,Mobile App,Portable Speaker,Audio,2,2346.05,0.1,4222.89,3425.23,Referral,UPI,6,5,No,797.66,0.1889,2025-12,35-44,0
ORD-00098,2025-06-18,C1299,60,West,Website,Bluetooth Headphones,Audio,2,2432.37,0.2,3891.79,3502.61,Search Ads,Net Banking,4,3,No,389.18,0.1,2025-06,55+,0
ORD-00099,2025-03-08,C1379,61,East,Mobile App,Bluetooth Headphones,Audio,2,2567.02,0.1,4620.64,3696.51,Search Ads,Debit Card,3,5,No,924.13,0.2,2025-03,55+,0
ORD-00100,2025-06-08,C1080,22,South,Website,USB-C Hub,Accessories,2,2050.91,0.05,3896.73,2707.21,Search Ads,Cash,2,4,No,1189.52,0.3053,2025-06,18-24,0
ORD-00101,2026-03-04,C1355,57,East,Retail Store,Wireless Mouse,Accessories,2,755.82,0.15,1284.89,1043.03,Email Offer,Credit Card,2,5,No,241.86,0.1882,2026-03,55+,0
ORD-00102,2025-08-16,C1293,46,West,Website,Laptop Stand,Office,1,1271.53,0.15,1080.8,801.07,Search Ads,Cash,4,4,No,279.73,0.2588,2025-08,45-54,0
ORD-00103,2025-09-28,C1247,41,South,Mobile App,Webcam Pro,Office,3,2784.12,0.05,7934.74,5930.17,Referral,UPI,5,4,No,2004.57,0.2526,2025-09,35-44,0
ORD-00104,2026-01-26,C1179,19,East,Website,USB-C Hub,Accessories,1,1995.23,0.15,1695.95,1316.85,Festive Sale,Credit Card,1,4,No,379.1,0.2235,2026-01,18-24,0
ORD-00105,2025-07-17,C1075,26,East,Website,Bluetooth Headphones,Audio,1,2558.96,0.0,2558.96,1842.45,Influencer,Net Banking,1,1,No,716.51,0.28,2025-07,25-34,0
ORD-00106,2025-08-18,C1312,51,North,Website,Wireless Mouse,Accessories,1,855.28,0.05,812.52,590.14,Organic,Debit Card,4,4,No,222.38,0.2737,2025-08,45-54,0
ORD-00107,2025-03-04,C1256,56,South,Website,Wireless Mouse,Accessories,3,842.04,0.1,2273.51,1743.03,Festive Sale,Net Banking,1,4,No,530.48,0.2333,2025-03,55+,0
ORD-00108,2025-01-01,C1035,51,South,Mobile App,Mechanical Keyboard,Accessories,1,3764.73,0.0,3764.73,2635.31,Organic,Cash,3,4,No,1129.42,0.3,2025-01,45-54,0
ORD-00109,2025-01-11,C1183,22,West,Website,Webcam Pro,Office,1,3117.67,0.1,2805.9,2213.55,Referral,Debit Card,2,4,No,592.35,0.2111,2025-01,18-24,0
ORD-00110,2025-03-10,C1357,48,East,Mobile App,Wireless Mouse,Accessories,3,794.48,0.05,2264.27,1644.57,Influencer,Net Banking,2,4,No,619.7,0.2737,2025-03,45-54,0
ORD-00111,2025-01-19,C1264,43,South,Website,Laptop Stand,Office,1,1389.07,0.0,1389.07,875.12,Referral,Debit Card,4,5,No,513.95,0.37,2025-01,35-44,0
ORD-00112,2025-07-02,C1198,39,East,Website,Wireless Mouse,Accessories,3,849.45,0.25,1911.26,1758.36,Email Offer,Debit Card,6,5,No,152.9,0.08,2025-07,35-44,0
ORD-00113,2026-02-13,C1165,24,North,Mobile App,Laptop Stand,Office,1,1308.45,0.2,1046.76,824.32,Search Ads,Credit Card,3,2,No,222.44,0.2125,2026-02,18-24,0
ORD-00114,2025-12-20,C1141,58,East,Website,Portable Speaker,Audio,2,2374.27,0.1,4273.69,3466.43,Organic,Net Banking,6,5,No,807.26,0.1889,2025-12,55+,0
ORD-00115,2025-07-06,C1331,41,North,Website,USB-C Hub,Accessories,2,1767.51,0.15,3004.77,2333.11,Festive Sale,Debit Card,5,4,No,671.66,0.2235,2025-07,35-44,0
ORD-00116,2025-07-10,C1128,25,North,Mobile App,Portable Speaker,Audio,2,2251.62,0.15,3827.75,3287.37,Referral,Net Banking,4,1,No,540.38,0.1412,2025-07,25-34,0
ORD-00117,2025-10-15,C1252,30,East,Mobile App,Bluetooth Headphones,Audio,2,2413.27,0.05,4585.21,3475.1,Organic,UPI,1,3,No,1110.11,0.2421,2025-10,25-34,0
ORD-00118,2026-02-19,C1365,63,East,Mobile App,Mechanical Keyboard,Accessories,2,3695.71,0.1,6652.28,5173.99,Referral,Cash,5,5,No,1478.29,0.2222,2026-02,55+,0
ORD-00119,2025-04-25,C1189,47,South,Mobile App,Bluetooth Headphones,Audio,1,2520.6,0.2,2016.48,1814.83,Festive Sale,Net Banking,3,5,No,201.65,0.1,2025-04,45-54,0
ORD-00120,2026-01-03,C1329,22,West,Mobile App,Portable Speaker,Audio,3,2365.2,0.0,7095.6,5179.79,Search Ads,Credit Card,3,4,No,1915.81,0.27,2026-01,18-24,0
ORD-00121,2026-03-26,C1083,38,South,Website,USB-C Hub,Accessories,4,1839.49,0.15,6254.27,4856.24,Festive Sale,UPI,6,5,No,1398.03,0.2235,2026-03,35-44,0
ORD-00122,2025-05-09,C1298,27,East,Website,Smart Watch,Wearables,1,6087.12,0.15,5174.05,4565.34,Festive Sale,Debit Card,3,3,No,608.71,0.1176,2025-05,25-34,0
ORD-00123,2026-03-08,C1393,54,North,Website,Wireless Mouse,Accessories,4,818.32,0.2,2618.62,2258.56,Referral,Debit Card,1,4,No,360.06,0.1375,2026-03,45-54,0
ORD-00124,2025-09-05,C1248,47,West,Website,Smart Watch,Wearables,1,5941.03,0.0,5941.03,4455.77,Search Ads,Debit Card,4,3,No,1485.26,0.25,2025-09,45-54,0
ORD-00125,2026-01-11,C1063,35,West,Website,Mechanical Keyboard,Accessories,1,3354.41,0.2,2683.53,2348.09,Festive Sale,Net Banking,7,4,No,335.44,0.125,2026-01,35-44,0
ORD-00126,2025-05-08,C1264,47,East,Retail Store,USB-C Hub,Accessories,2,1898.47,0.05,3607.09,2505.98,Search Ads,UPI,5,4,No,1101.11,0.3053,2025-05,45-54,0
ORD-00127,2025-07-21,C1335,61,South,Website,Portable Speaker,Audio,1,2197.2,0.0,2197.2,1603.96,Referral,Debit Card,5,4,No,593.24,0.27,2025-07,55+,0
ORD-00128,2026-01-27,C1148,22,East,Website,Webcam Pro,Office,1,2933.03,0.2,2346.42,2082.45,Search Ads,Debit Card,2,4,No,263.97,0.1125,2026-01,18-24,0
ORD-00129,2026-02-27,C1387,27,South,Retail Store,Bluetooth Headphones,Audio,1,2674.51,0.1,2407.06,1925.65,Organic,Debit Card,3,3,No,481.41,0.2,2026-02,25-34,0
ORD-00130,2026-02-16,C1164,28,West,Website,Portable Speaker,Audio,3,2350.77,0.05,6699.69,5148.19,Referral,Cash,4,4,No,1551.5,0.2316,2026-02,25-34,0
ORD-00131,2025-06-22,C1214,55,East,Mobile App,Portable Speaker,Audio,1,2061.64,0.1,1855.48,1505.0,Influencer,Net Banking,5,4,No,350.48,0.1889,2025-06,55+,0
ORD-00132,2025-05-16,C1125,20,North,Mobile App,Smart Watch,Wearables,1,6307.74,0.15,5361.58,4730.81,Email Offer,UPI,2,4,No,630.77,0.1176,2025-05,18-24,0
ORD-00133,2025-08-14,C1242,21,West,Website,Mechanical Keyboard,Accessories,2,3652.94,0.15,6210.0,5114.12,Organic,Cash,1,5,No,1095.88,0.1765,2025-08,18-24,0
ORD-00134,2025-07-12,C1370,61,South,Website,Mechanical Keyboard,Accessories,2,3597.46,0.2,5755.94,5036.44,Referral,Net Banking,2,4,No,719.5,0.125,2025-07,55+,0
ORD-00135,2025-04-09,C1354,63,East,Mobile App,Smart Watch,Wearables,1,6195.67,0.1,5576.1,4646.75,Referral,Debit Card,1,4,No,929.35,0.1667,2025-04,55+,0
ORD-00136,2025-05-28,C1148,63,West,Retail Store,Bluetooth Headphones,Audio,1,2415.21,0.1,2173.69,1738.95,Search Ads,Debit Card,2,2,No,434.74,0.2,2025-05,55+,0
ORD-00137,2026-01-18,C1056,57,South,Website,Portable Speaker,Audio,2,2118.65,0.2,3389.84,3093.23,Influencer,Credit Card,7,5,No,296.61,0.0875,2026-01,55+,0
ORD-00138,2025-01-27,C1244,48,West,Website,Bluetooth Headphones,Audio,1,2461.78,0.15,2092.51,1772.48,Festive Sale,Debit Card,5,4,No,320.03,0.1529,2025-01,45-54,0
ORD-00139,2025-05-27,C1091,20,North,Mobile App,Wireless Mouse,Accessories,1,788.5,0.0,788.5,544.07,Search Ads,UPI,1,5,No,244.43,0.31,2025-05,18-24,0
ORD-00140,2025-01-05,C1253,26,North,Retail Store,Laptop Stand,Office,1,1308.0,0.15,1111.8,824.04,Influencer,UPI,4,5,No,287.76,0.2588,2025-01,25-34,0
ORD-00141,2025-06-19,C1152,54,West,Mobile App,USB-C Hub,Accessories,2,1849.51,0.0,3699.02,2441.35,Influencer,Net Banking,2,4,No,1257.67,0.34,2025-06,45-54,0
ORD-00142,2025-09-21,C1004,34,North,Website,Mechanical Keyboard,Accessories,1,3742.99,0.2,2994.39,2620.09,Email Offer,Debit Card,2,4,No,374.3,0.125,2025-09,25-34,0
